datetime,Unnamed: 0,year,DOY,time,Ta,HR,VPD,R,meanWS,P,maxWS
2024-04-05 02:00:00,221426,2024,96,200,12.29,55.0,,,,0.0,
2024-04-05 03:00:00,221427,2024,96,300,12.21,54.0,,,,0.0,
2024-04-05 04:00:00,221428,2024,96,400,12.06,59.0,,,,0.0,
2024-04-05 05:00:00,221429,2024,96,500,11.81,57.0,,,,0.0,
2024-04-05 06:00:00,221430,2024,96,600,12.11,60.0,,,,0.0,
2024-04-05 07:00:00,221431,2024,96,700,12.36,51.0,,,,0.0,
2024-04-05 08:00:00,221432,2024,96,800,13.02,44.0,,,,0.0,
2024-04-05 09:00:00,221433,2024,96,900,15.05,44.0,,,,0.0,
2024-04-05 10:00:00,221434,2024,96,1000,14.79,37.0,,,,0.0,
2024-04-05 11:00:00,221435,2024,96,1100,19.44,38.0,,,,0.0,
2024-04-05 12:00:00,221436,2024,96,1200,20.42,39.0,,,,0.0,
2024-04-05 13:00:00,221437,2024,96,1300,20.66,38.0,,,,0.0,
2024-04-05 14:00:00,221438,2024,96,1400,18.38,37.0,,,,0.0,
2024-04-05 15:00:00,221439,2024,96,1500,20.52,33.0,,,,0.0,
2024-04-05 16:00:00,221440,2024,96,1600,18.06,35.0,,,,0.0,
2024-04-05 17:00:00,221441,2024,96,1700,16.53,37.0,,,,0.0,
2024-04-05 18:00:00,221442,2024,96,1800,15.52,39.0,,,,0.0,
2024-04-05 19:00:00,221443,2024,96,1900,14.29,42.0,,,,0.0,
2024-04-05 20:00:00,221444,2024,96,2000,12.95,39.0,,,,0.0,
2024-04-05 21:00:00,221445,2024,96,2100,12.19,38.0,,,,0.0,
2024-04-05 22:00:00,221446,2024,96,2200,12.2,38.0,,,,0.0,
2024-04-05 23:00:00,221447,2024,96,2300,12.7,38.0,,,,0.0,
2024-04-06 00:00:00,221448,2024,97,0,12.62,38.0,,,,0.0,
2024-04-06 01:00:00,221449,2024,97,100,12.75,44.0,,,,0.0,
2024-04-06 02:00:00,221450,2024,97,200,13.37,44.0,,,,0.0,
