"time","F14C"
1996.75,1.10568703538016
1997,1.10388859884413
1997.25,1.10131250824628
1997.5,1.10018470581851
1997.75,1.09855131950476
1998,1.09817888209774
1998.25,1.09621760921767
1998.5,1.09881583197685
1998.75,1.09836607006851
1999,1.09287841155359
1999.25,1.08832033309633
1999.5,1.09176953226613
1999.75,1.09226051860571
2000,1.09036616329113
2000.25,1.08546902115825
2000.5,1.08645404004828
2000.75,1.08755292255956
2001,1.08187378792732
2001.25,1.07640314029041
2001.5,1.08139671129931
2001.75,1.08172760807882
2002,1.07703724944628
2002.25,1.07182107957197
2002.5,1.07595127158318
2002.75,1.07561223019441
2003,1.07039586909231
2003.25,1.06779093250796
2003.5,1.07048848546025
2003.75,1.06991577143036
2004,1.06493208017025
2004.25,1.05926585622171
2004.5,1.06392548644369
2004.75,1.06252232562955
2005,1.06050569238517
2005.25,1.058455780112
2005.5,1.05962095758901
2005.75,1.05672097155807
2006,1.05343618524537
2006.25,1.05226245131304
2006.5,1.05742801924651
2006.75,1.05586045240786
2007,1.05301603311483
2007.25,1.04924932165798
2007.5,1.05080100177726
2007.75,1.05107710885039
2008,1.04844710775143
2008.25,1.04703163117222
2008.5,1.0483929063611
2008.75,1.04624710062726
2009,1.04458096799693
2009.25,1.04241840042095
2009.5,1.04488137826455
2009.75,1.04247115582696
2010,1.04176390427359
2010.25,1.03948627548682
2010.5,1.03966530714292
2010.75,1.03913004397935
2011,1.03666259632595
2011.25,1.03487161776576
2011.5,1.03306635934237
2011.75,1.03379238391327
2012,1.03177379766761
2012.25,1.02868437732099
2012.5,1.03190857900907
2012.75,1.031220856365
2013,1.02610367405007
2013.25,1.01884319539106
2013.5,1.02397265519846
2013.75,1.02326447642435
2014,1.02021584174299
2014.25,1.01705061910793
2014.5,1.02066172441909
2014.75,1.01776482877354
2015,1.01590584142018
2015.25,1.01469590303521
2015.5,1.01616848027121
2015.75,1.01579679290252
2016,1.01363505910146
2016.25,1.00967339883701
2016.5,1.01199959855134
2016.75,1.01100476458465
2017,1.00783886276025
2017.25,1.00629472253022
2017.5,1.00811904187721
2017.75,1.00733441852229
2018,1.0082875366038
2018.25,1.00300000017162
2018.5,1.00536262546638
2018.75,1.00557041709413
2019,1.00299046315992
2019.25,1.0000414913266
2019.5,1.00315636878268
2019.75,1.00312940986356
2020,1.00154591334161
2020.25,0.998626246954327
2020.5,1.00176983558186
2020.75,1.00177100536846
2021,1.00021506690301
2021.25,0.997322399499806
2021.5,1.00049243938096
2021.75,1.00051952380256
2022,0.99898897423991
2022.25,0.996121180672891
2022.5,0.999315589772795
2022.75,0.999366549032932
2023,0.997859389958138
2023.25,0.995014512354344
2023.5,0.998231372519564
2023.75,0.998304327378528
2024,0.996818717676155
2024.25,0.993994952271007
2024.5,0.997232496330074
2024.75,0.99732571546714
2025,0.9958599589399
2025.25,0.993055643946993
2025.5,0.996312243826292
2025.75,0.996424132196699
2026,0.994976666158626
2026.25,0.992190270594326
2026.5,0.995464426369406
2026.75,0.995593514477785
2027,0.994162899245277
2027.25,0.991393012632952
2027.5,0.994683342441629
2027.75,0.99482827645974
2028,0.993413185669776
2028.25,0.990658508554434
2028.5,0.993963739303858
2028.75,0.994123271966186
2029,0.992722483656619
