"time","F14C"
1996.75,1.11093148994193
1997,1.10538496201062
1997.25,1.10854768491538
1997.5,1.10815841396928
1997.75,1.10609315005583
1998,1.10602804926351
1998.25,1.10203839504157
1998.5,1.10055021636336
1998.75,1.09957681493117
1999,1.09535316983637
1999.25,1.09563453919455
1999.5,1.09402098492489
1999.75,1.09071784822307
2000,1.09400900107467
2000.25,1.09173158323209
2000.5,1.08595630587534
2000.75,1.08936619818485
2001,1.08852850226563
2001.25,1.0877661262639
2001.5,1.08484668272876
2001.75,1.08071222477916
2002,1.08227747970317
2002.25,1.08540131517477
2002.5,1.08039035808332
2002.75,1.08039365988863
2003,1.07919854420912
2003.25,1.0770152797429
2003.5,1.07913041809779
2003.75,1.07377871970117
2004,1.07277481093818
2004.25,1.07231729602266
2004.5,1.06851733681137
